"Variabel","Digital","Stedlig","Totalt"
"n","17","14","31"
"Kvinner, n (%)","13 (76%)","13 (93%)","26 (84%)"
"Aldersgruppe (WHO), n (%)","","",""
"  Unge voksne (18–44 år)","0 (0%)","1 (7%)","1 (3%)"
"  Middelaldrende (45–59 år)","9 (53%)","2 (14%)","11 (35%)"
"  Eldre voksne (60–74 år)","8 (47%)","11 (79%)","19 (61%)"
"  Gamle eldre (75+ år)","0 (0%)","0 (0%)","0 (0%)"
"Kreftform, n (%)","","",""
"  Blodkreft","3 (18%)","0 (0%)","3 (10%)"
"  Brystkreft","6 (35%)","7 (50%)","13 (42%)"
"  Gynkreft","1 (6%)","2 (14%)","3 (10%)"
"  Lungekreft","0 (0%)","1 (7%)","1 (3%)"
"  Lymfekreft","3 (18%)","2 (14%)","5 (16%)"
"  Mage-tarmkreft","1 (6%)","1 (7%)","2 (6%)"
"  Melanom","1 (6%)","0 (0%)","1 (3%)"
"  Munn og svelg","1 (6%)","0 (0%)","1 (3%)"
"  Prostata","1 (6%)","1 (7%)","2 (6%)"
"Behandlingstype, n (%)¹","","",""
"  Cellegift","12 (71%)","10 (71%)","22 (71%)"
"  Stråling","8 (47%)","8 (57%)","16 (52%)"
"  Immunterapi","5 (29%)","2 (14%)","7 (23%)"
"  Kirurgi","7 (41%)","8 (57%)","15 (48%)"
"  Stamcellebehandling","1 (6%)","0 (0%)","1 (3%)"
"  Legemidler","2 (12%)","2 (14%)","4 (13%)"
"  Annet","1 (6%)","0 (0%)","1 (3%)"
"Dager siden siste behandling, gj.snitt (SD)","868.8 (693.6)","435.0 (599.4)","701.9 (681.4)"
"Antropometri (pre), gj.snitt (SD)","","",""
"  Kroppsvekt, kg","78.5 (10.9)","73.7 (19.4)","76.4 (15.2)"
"  Høyde, cm","170.7 (7.7)","167.6 (7.4)","169.3 (7.6)"
"  BMI, kg/m²","27.0 (3.7)","26.0 (5.5)","26.6 (4.6)"
"  Midjeomkrets, cm","93.3 (9.2)","89.6 (17.6)","91.7 (13.5)"
"DXA-målinger (pre), gj.snitt (SD)","","",""
"  Mager masse (LBM), g","47531 (7598)","44283 (9227)","46064 (8390)"
"  Total fettmasse, g","29207 (7264)","27364 (12225)","28375 (9684)"
"  Total fettprosent, %","37.9 (6.5)","36.8 (8.6)","37.4 (7.4)"
