"Variabel","Digital","Stedlig","Totalt","p"
"n","21","29","50",""
"Kvinner, n (%)","15 (71%)","21 (72%)","36 (72%)","1.000"
"Aldersgruppe (WHO), n (%)","","","","0.007"
"  Unge voksne (18–44 år)","1 (5%)","1 (3%)","2 (4%)",""
"  Middelaldrende (45–59 år)","12 (57%)","6 (21%)","18 (36%)",""
"  Eldre voksne (60–74 år)","8 (38%)","14 (48%)","22 (44%)",""
"  Gamle eldre (75+ år)","0 (0%)","8 (28%)","8 (16%)",""
"Kreftform, n (%)","","","","0.571"
"  Beinkreft","1 (5%)","1 (3%)","2 (4%)",""
"  Blodkreft","3 (14%)","0 (0%)","3 (6%)",""
"  Brystkreft","7 (33%)","13 (45%)","20 (40%)",""
"  Bukspyttkjertelkreft","0 (0%)","1 (3%)","1 (2%)",""
"  Gynkreft","1 (5%)","2 (7%)","3 (6%)",""
"  Lungekreft","0 (0%)","1 (3%)","1 (2%)",""
"  Lymfekreft","3 (14%)","3 (10%)","6 (12%)",""
"  Mage-tarmkreft","3 (14%)","3 (10%)","6 (12%)",""
"  Melanom","1 (5%)","0 (0%)","1 (2%)",""
"  Munn og svelg","1 (5%)","1 (3%)","2 (4%)",""
"  Prostata","1 (5%)","4 (14%)","5 (10%)",""
"Behandlingstype, n (%)¹","","","",""
"  Cellegift","15 (71%)","16 (55%)","31 (62%)",""
"  Stråling","11 (52%)","18 (62%)","29 (58%)",""
"  Immunterapi","5 (24%)","2 (7%)","7 (14%)",""
"  Kirurgi","9 (43%)","17 (59%)","26 (52%)",""
"  Stamcellebehandling","1 (5%)","0 (0%)","1 (2%)",""
"  Legemidler","2 (10%)","4 (14%)","6 (12%)",""
"  Annet","1 (5%)","0 (0%)","1 (2%)",""
"Dager siden siste behandling, gj.snitt (SD)","3120.6 (10092.1)","653.3 (628.8)","1774.8 (6838.1)","0.168"
"Antropometri (pre), gj.snitt (SD)","","","",""
"  Kroppsvekt, kg","78.9 (10.2)","76.0 (15.2)","77.3 (13.2)","0.379"
"  Høyde, cm","170.9 (8.9)","171.3 (8.1)","171.1 (8.4)","0.969"
"  BMI, kg/m²","27.1 (3.9)","25.9 (4.7)","26.4 (4.3)","0.151"
"  Midjeomkrets, cm","93.9 (9.9)","91.4 (14.5)","92.5 (12.7)","0.280"
"DXA-målinger (pre), gj.snitt (SD)","","","",""
"  Mager masse (LBM), g","47749 (8047)","47550 (9115)","47633 (8598)","0.844"
"  Total fettmasse, g","29271 (8206)","26817 (9611)","27847 (9043)","0.231"
"  Total fettprosent, %","37.8 (8.2)","35.4 (8.0)","36.4 (8.1)","0.350"
